"level4_cod";"scientificName";"SSBS";"Best_guess_binomial";"Reference";"SSS";"Diversity_metric_type";"Study_common_taxon";"Predominant_land_use";"Use_intensity";"Km_to_nearest_edge_of_habitat";"Longitude";"Latitude";"Taxon";"Kingdom";"Phylum";"Class";"Order";"Family";"Genus";"Species";"Higher_taxon";"Measurement";"Effort_corrected_measurement";"Invasion_status"
"AZO-OO";"Acorigone acoreensis";"SC1_2011__Meijer 1 Terceira 107";"Acorigone acoreensis";"Cardoso et al. 2009";"SC1_2011__Meijer 1 107";"Abundance";"Arthropoda";"Primary vegetation";"Minimal use";NA;-27.3188535463391;38.7474526921176;"Acorigone acoreensis";"Animalia";"Arthropoda";"Arachnida";"Araneae";"Linyphiidae";"Acorigone";"acoreensis";"Arachnida";4;4;"predicts_NA"
"AZO-OO";"Acorigone acoreensis";"SC1_2011__Meijer 1 Terceira 113";"Acorigone acoreensis";"Cardoso et al. 2009";"SC1_2011__Meijer 1 113";"Abundance";"Arthropoda";"Primary vegetation";"Minimal use";NA;-27.2017027338452;38.7381250434179;"Acorigone acoreensis";"Animalia";"Arthropoda";"Arachnida";"Araneae";"Linyphiidae";"Acorigone";"acoreensis";"Arachnida";2;2;"predicts_NA"
"AZO-OO";"Acorigone acoreensis";"SC1_2011__Meijer 1 Terceira 148";"Acorigone acoreensis";"Cardoso et al. 2009";"SC1_2011__Meijer 1 148";"Abundance";"Arthropoda";"Pasture";"Minimal use";NA;-27.2293502590321;38.7339917495102;"Acorigone acoreensis";"Animalia";"Arthropoda";"Arachnida";"Araneae";"Linyphiidae";"Acorigone";"acoreensis";"Arachnida";1;1;"predicts_NA"
"AZO-OO";"Acorigone acoreensis";"SC1_2011__Meijer 1 Terceira 79";"Acorigone acoreensis";"Cardoso et al. 2009";"SC1_2011__Meijer 1 79";"Abundance";"Arthropoda";"Primary vegetation";"Minimal use";NA;-27.2212523804735;38.7644579930957;"Acorigone acoreensis";"Animalia";"Arthropoda";"Arachnida";"Araneae";"Linyphiidae";"Acorigone";"acoreensis";"Arachnida";2;2;"predicts_NA"
"AZO-OO";"Acorigone acoreensis";"SC1_2011__Meijer 1 Terceira 96";"Acorigone acoreensis";"Cardoso et al. 2009";"SC1_2011__Meijer 1 96";"Abundance";"Arthropoda";"Primary vegetation";"Minimal use";NA;-27.3081452193651;38.7352885413369;"Acorigone acoreensis";"Animalia";"Arthropoda";"Arachnida";"Araneae";"Linyphiidae";"Acorigone";"acoreensis";"Arachnida";2;2;"predicts_NA"
"AZO-OO";"Acorigone acoreensis";"SC1_2011__Meijer 1 Terceira 98";"Acorigone acoreensis";"Cardoso et al. 2009";"SC1_2011__Meijer 1 98";"Abundance";"Arthropoda";"Primary vegetation";"Minimal use";NA;-27.3120309898143;38.7345663072429;"Acorigone acoreensis";"Animalia";"Arthropoda";"Arachnida";"Araneae";"Linyphiidae";"Acorigone";"acoreensis";"Arachnida";2;2;"predicts_NA"
"AZO-OO";"Agyneta decora";"KS1_2006__Borges 1 Fragment A 4";"Agyneta decora";"Borges et al. 2006";"KS1_2006__Borges 1 4";"Abundance";"Arthropoda";"Primary vegetation";"Minimal use";0.144;-27.2212523804708;38.764457;"Agyneta decora";"Animalia";"Arthropoda";"Arachnida";"Araneae";"Linyphiidae";"Agyneta";"decora";"Arachnida";2;2;"predicts_NA"
"AZO-OO";"Agyneta decora";"KS1_2006__Borges 1 Fragment D 19";"Agyneta decora";"Borges et al. 2006";"KS1_2006__Borges 1 19";"Abundance";"Arthropoda";"Primary vegetation";"Minimal use";0.55;-27.2911092240345;38.739081;"Agyneta decora";"Animalia";"Arthropoda";"Arachnida";"Araneae";"Linyphiidae";"Agyneta";"decora";"Arachnida";2;2;"predicts_NA"
"AZO-OO";"Agyneta decora";"KS1_2006__Borges 1 Fragment D 23";"Agyneta decora";"Borges et al. 2006";"KS1_2006__Borges 1 23";"Abundance";"Arthropoda";"Primary vegetation";"Minimal use";0.55;-27.3120309898106;38.734566;"Agyneta decora";"Animalia";"Arthropoda";"Arachnida";"Araneae";"Linyphiidae";"Agyneta";"decora";"Arachnida";1;1;"predicts_NA"
"AZO-OO";"Agyneta decora";"KS1_2006__Borges 1 Fragment D 27";"Agyneta decora";"Borges et al. 2006";"KS1_2006__Borges 1 27";"Abundance";"Arthropoda";"Primary vegetation";"Minimal use";0.68;-27.3119245191759;38.73654;"Agyneta decora";"Animalia";"Arthropoda";"Arachnida";"Araneae";"Linyphiidae";"Agyneta";"decora";"Arachnida";2;2;"predicts_NA"
"AZO-OO";"Agyneta decora";"KS1_2006__Borges 1 Fragment D 31";"Agyneta decora";"Borges et al. 2006";"KS1_2006__Borges 1 31";"Abundance";"Arthropoda";"Primary vegetation";"Minimal use";0.686;-27.3188535463353;38.747452;"Agyneta decora";"Animalia";"Arthropoda";"Arachnida";"Araneae";"Linyphiidae";"Agyneta";"decora";"Arachnida";1;1;"predicts_NA"
"AZO-OO";"Agyneta decora";"KS1_2006__Borges 1 Fragment D 32";"Agyneta decora";"Borges et al. 2006";"KS1_2006__Borges 1 32";"Abundance";"Arthropoda";"Primary vegetation";"Minimal use";0.54;-27.3173218807407;38.75499;"Agyneta decora";"Animalia";"Arthropoda";"Arachnida";"Araneae";"Linyphiidae";"Agyneta";"decora";"Arachnida";1;1;"predicts_NA"
"AZO-OO";"Agyneta decora";"KS1_2006__Borges 1 Fragment E 33";"Agyneta decora";"Borges et al. 2006";"KS1_2006__Borges 1 33";"Abundance";"Arthropoda";"Primary vegetation";"Minimal use";NA;-27.2020627015401;38.735204;"Agyneta decora";"Animalia";"Arthropoda";"Arachnida";"Araneae";"Linyphiidae";"Agyneta";"decora";"Arachnida";3;3;"predicts_NA"
"AZO-OO";"Agyneta decora";"SC1_2011__Meijer 1 Flores 33";"Agyneta decora";"Cardoso et al. 2009";"SC1_2011__Meijer 1 33";"Abundance";"Arthropoda";"Primary vegetation";"Minimal use";NA;-31.2155009614341;39.4519003010345;"Agyneta decora";"Animalia";"Arthropoda";"Arachnida";"Araneae";"Linyphiidae";"Agyneta";"decora";"Arachnida";12;12;"predicts_NA"
"AZO-OO";"Agyneta decora";"SC1_2011__Meijer 1 Flores 36";"Agyneta decora";"Cardoso et al. 2009";"SC1_2011__Meijer 1 36";"Abundance";"Arthropoda";"Primary vegetation";"Minimal use";NA;-31.2167007540512;39.4476931085174;"Agyneta decora";"Animalia";"Arthropoda";"Arachnida";"Araneae";"Linyphiidae";"Agyneta";"decora";"Arachnida";1;1;"predicts_NA"
"AZO-OO";"Agyneta decora";"SC1_2011__Meijer 1 Flores 38";"Agyneta decora";"Cardoso et al. 2009";"SC1_2011__Meijer 1 38";"Abundance";"Arthropoda";"Primary vegetation";"Minimal use";NA;-31.1873005876438;39.4821512953891;"Agyneta decora";"Animalia";"Arthropoda";"Arachnida";"Araneae";"Linyphiidae";"Agyneta";"decora";"Arachnida";4;4;"predicts_NA"
"AZO-OO";"Agyneta decora";"SC1_2011__Meijer 1 Flores 45";"Agyneta decora";"Cardoso et al. 2009";"SC1_2011__Meijer 1 45";"Abundance";"Arthropoda";"Pasture";"Minimal use";NA;-31.2438387002126;39.4036154275476;"Agyneta decora";"Animalia";"Arthropoda";"Arachnida";"Araneae";"Linyphiidae";"Agyneta";"decora";"Arachnida";1;1;"predicts_NA"
"AZO-OO";"Agyneta decora";"SC1_2011__Meijer 1 Terceira 103";"Agyneta decora";"Cardoso et al. 2009";"SC1_2011__Meijer 1 103";"Abundance";"Arthropoda";"Primary vegetation";"Minimal use";NA;-27.3119245191797;38.7365401618041;"Agyneta decora";"Animalia";"Arthropoda";"Arachnida";"Araneae";"Linyphiidae";"Agyneta";"decora";"Arachnida";2;2;"predicts_NA"
"AZO-OO";"Agyneta decora";"SC1_2011__Meijer 1 Terceira 107";"Agyneta decora";"Cardoso et al. 2009";"SC1_2011__Meijer 1 107";"Abundance";"Arthropoda";"Primary vegetation";"Minimal use";NA;-27.3188535463391;38.7474526921176;"Agyneta decora";"Animalia";"Arthropoda";"Arachnida";"Araneae";"Linyphiidae";"Agyneta";"decora";"Arachnida";1;1;"predicts_NA"
"AZO-OO";"Agyneta decora";"SC1_2011__Meijer 1 Terceira 108";"Agyneta decora";"Cardoso et al. 2009";"SC1_2011__Meijer 1 108";"Abundance";"Arthropoda";"Primary vegetation";"Minimal use";NA;-27.3173218807445;38.7549906511773;"Agyneta decora";"Animalia";"Arthropoda";"Arachnida";"Araneae";"Linyphiidae";"Agyneta";"decora";"Arachnida";1;1;"predicts_NA"
"AZO-OO";"Agyneta decora";"SC1_2011__Meijer 1 Terceira 109";"Agyneta decora";"Cardoso et al. 2009";"SC1_2011__Meijer 1 109";"Abundance";"Arthropoda";"Primary vegetation";"Minimal use";NA;-27.2020627015425;38.7352046140011;"Agyneta decora";"Animalia";"Arthropoda";"Arachnida";"Araneae";"Linyphiidae";"Agyneta";"decora";"Arachnida";3;3;"predicts_NA"
"AZO-OO";"Agyneta decora";"SC1_2011__Meijer 1 Terceira 127";"Agyneta decora";"Cardoso et al. 2009";"SC1_2011__Meijer 1 127";"Abundance";"Arthropoda";"Pasture";"Light use";NA;-27.0922750888536;38.7527174755744;"Agyneta decora";"Animalia";"Arthropoda";"Arachnida";"Araneae";"Linyphiidae";"Agyneta";"decora";"Arachnida";1;1;"predicts_NA"
"AZO-OO";"Agyneta decora";"SC1_2011__Meijer 1 Terceira 143";"Agyneta decora";"Cardoso et al. 2009";"SC1_2011__Meijer 1 143";"Abundance";"Arthropoda";"Pasture";"Minimal use";NA;-27.2647818796477;38.7263469975669;"Agyneta decora";"Animalia";"Arthropoda";"Arachnida";"Araneae";"Linyphiidae";"Agyneta";"decora";"Arachnida";1;1;"predicts_NA"
"AZO-OO";"Agyneta decora";"SC1_2011__Meijer 1 Terceira 144";"Agyneta decora";"Cardoso et al. 2009";"SC1_2011__Meijer 1 144";"Abundance";"Arthropoda";"Pasture";"Minimal use";NA;-27.2590457218886;38.7371379032746;"Agyneta decora";"Animalia";"Arthropoda";"Arachnida";"Araneae";"Linyphiidae";"Agyneta";"decora";"Arachnida";3;3;"predicts_NA"
"AZO-OO";"Agyneta decora";"SC1_2011__Meijer 1 Terceira 146";"Agyneta decora";"Cardoso et al. 2009";"SC1_2011__Meijer 1 146";"Abundance";"Arthropoda";"Pasture";"Minimal use";NA;-27.20551228416;38.754537793482;"Agyneta decora";"Animalia";"Arthropoda";"Arachnida";"Araneae";"Linyphiidae";"Agyneta";"decora";"Arachnida";6;6;"predicts_NA"
"AZO-OO";"Agyneta decora";"SC1_2011__Meijer 1 Terceira 148";"Agyneta decora";"Cardoso et al. 2009";"SC1_2011__Meijer 1 148";"Abundance";"Arthropoda";"Pasture";"Minimal use";NA;-27.2293502590321;38.7339917495102;"Agyneta decora";"Animalia";"Arthropoda";"Arachnida";"Araneae";"Linyphiidae";"Agyneta";"decora";"Arachnida";1;1;"predicts_NA"
"AZO-OO";"Agyneta decora";"SC1_2011__Meijer 1 Terceira 149";"Agyneta decora";"Cardoso et al. 2009";"SC1_2011__Meijer 1 149";"Abundance";"Arthropoda";"Pasture";"Minimal use";NA;-27.2025086428959;38.7382948734068;"Agyneta decora";"Animalia";"Arthropoda";"Arachnida";"Araneae";"Linyphiidae";"Agyneta";"decora";"Arachnida";7;7;"predicts_NA"
"AZO-OO";"Agyneta decora";"SC1_2011__Meijer 1 Terceira 150";"Agyneta decora";"Cardoso et al. 2009";"SC1_2011__Meijer 1 150";"Abundance";"Arthropoda";"Pasture";"Minimal use";NA;-27.2025086428959;38.7382948734068;"Agyneta decora";"Animalia";"Arthropoda";"Arachnida";"Araneae";"Linyphiidae";"Agyneta";"decora";"Arachnida";2;2;"predicts_NA"
"AZO-OO";"Agyneta decora";"SC1_2011__Meijer 1 Terceira 66";"Agyneta decora";"Cardoso et al. 2009";"SC1_2011__Meijer 1 66";"Abundance";"Arthropoda";"Secondary vegetation (indeterminate age)";"Minimal use";NA;-27.2225844370071;38.7263808781058;"Agyneta decora";"Animalia";"Arthropoda";"Arachnida";"Araneae";"Linyphiidae";"Agyneta";"decora";"Arachnida";9;9;"predicts_NA"
"AZO-OO";"Agyneta decora";"SC1_2011__Meijer 1 Terceira 67";"Agyneta decora";"Cardoso et al. 2009";"SC1_2011__Meijer 1 67";"Abundance";"Arthropoda";"Secondary vegetation (indeterminate age)";"Minimal use";NA;-27.2291150679392;38.7251967330732;"Agyneta decora";"Animalia";"Arthropoda";"Arachnida";"Araneae";"Linyphiidae";"Agyneta";"decora";"Arachnida";3;3;"predicts_NA"
"AZO-OO";"Agyneta decora";"SC1_2011__Meijer 1 Terceira 72";"Agyneta decora";"Cardoso et al. 2009";"SC1_2011__Meijer 1 72";"Abundance";"Arthropoda";"Secondary vegetation (indeterminate age)";"Minimal use";NA;-27.2656945588253;38.7398084800385;"Agyneta decora";"Animalia";"Arthropoda";"Arachnida";"Araneae";"Linyphiidae";"Agyneta";"decora";"Arachnida";4;4;"predicts_NA"
"AZO-OO";"Agyneta decora";"SC1_2011__Meijer 1 Terceira 79";"Agyneta decora";"Cardoso et al. 2009";"SC1_2011__Meijer 1 79";"Abundance";"Arthropoda";"Primary vegetation";"Minimal use";NA;-27.2212523804735;38.7644579930957;"Agyneta decora";"Animalia";"Arthropoda";"Arachnida";"Araneae";"Linyphiidae";"Agyneta";"decora";"Arachnida";2;2;"predicts_NA"
"AZO-OO";"Agyneta decora";"SC1_2011__Meijer 1 Terceira 94";"Agyneta decora";"Cardoso et al. 2009";"SC1_2011__Meijer 1 94";"Abundance";"Arthropoda";"Primary vegetation";"Minimal use";NA;-27.291109224038;38.7390810870948;"Agyneta decora";"Animalia";"Arthropoda";"Arachnida";"Araneae";"Linyphiidae";"Agyneta";"decora";"Arachnida";2;2;"predicts_NA"
"AZO-OO";"Agyneta decora";"SC1_2011__Meijer 1 Terceira 98";"Agyneta decora";"Cardoso et al. 2009";"SC1_2011__Meijer 1 98";"Abundance";"Arthropoda";"Primary vegetation";"Minimal use";NA;-27.3120309898143;38.7345663072429;"Agyneta decora";"Animalia";"Arthropoda";"Arachnida";"Araneae";"Linyphiidae";"Agyneta";"decora";"Arachnida";1;1;"predicts_NA"
"AZO-OO";"Chalcoscirtus infimus";"SC1_2011__Meijer 1 Santa Maria 55";"Chalcoscirtus infimus";"Cardoso et al. 2009";"SC1_2011__Meijer 1 55";"Abundance";"Arthropoda";"Pasture";"Minimal use";NA;-25.1719311795524;36.9990865685744;"Chalcoscirtus infimus";"Animalia";"Arthropoda";"Arachnida";"Araneae";"Salticidae";"Chalcoscirtus";"infimus";"Arachnida";2;2;"predicts_NA"
"AZO-OO";"Clubiona decora";"KS1_2006__Borges 1 Fragment B 12";"Clubiona decora";"Borges et al. 2006";"KS1_2006__Borges 1 12";"Abundance";"Arthropoda";"Secondary vegetation (indeterminate age)";"Minimal use";0.15;-27.2082643466145;38.711456;"Clubiona decora";"Animalia";"Arthropoda";"Arachnida";"Araneae";"Clubionidae";"Clubiona";"decora";"Arachnida";1;1;"predicts_NA"
"AZO-OO";"Clubiona decora";"SC1_2011__Meijer 1 Terceira 64";"Clubiona decora";"Cardoso et al. 2009";"SC1_2011__Meijer 1 64";"Abundance";"Arthropoda";"Secondary vegetation (indeterminate age)";"Minimal use";NA;-27.1343029741543;38.745981020519;"Clubiona decora";"Animalia";"Arthropoda";"Arachnida";"Araneae";"Clubionidae";"Clubiona";"decora";"Arachnida";2;2;"predicts_NA"
"AZO-OO";"Clubiona decora";"SC1_2011__Meijer 1 Terceira 87";"Clubiona decora";"Cardoso et al. 2009";"SC1_2011__Meijer 1 87";"Abundance";"Arthropoda";"Primary vegetation";"Minimal use";NA;-27.208264346617;38.7114567224497;"Clubiona decora";"Animalia";"Arthropoda";"Arachnida";"Araneae";"Clubionidae";"Clubiona";"decora";"Arachnida";1;1;"predicts_NA"
"AZO-OO";"Clubiona terrestris";"SC1_2011__Meijer 1 Flores 35";"Clubiona terrestris";"Cardoso et al. 2009";"SC1_2011__Meijer 1 35";"Abundance";"Arthropoda";"Primary vegetation";"Minimal use";NA;-31.217768179424;39.466440850018;"Clubiona terrestris";"Animalia";"Arthropoda";"Arachnida";"Araneae";"Clubionidae";"Clubiona";"terrestris";"Arachnida";1;1;"predicts_NA"
"AZO-OO";"Clubiona terrestris";"SC1_2011__Meijer 1 Santa Maria 52";"Clubiona terrestris";"Cardoso et al. 2009";"SC1_2011__Meijer 1 52";"Abundance";"Arthropoda";"Primary vegetation";"Minimal use";NA;-25.0919524078069;36.9803511408479;"Clubiona terrestris";"Animalia";"Arthropoda";"Arachnida";"Araneae";"Clubionidae";"Clubiona";"terrestris";"Arachnida";1;1;"predicts_NA"
"AZO-OO";"Clubiona terrestris";"SC1_2011__Meijer 1 Santa Maria 59";"Clubiona terrestris";"Cardoso et al. 2009";"SC1_2011__Meijer 1 59";"Abundance";"Arthropoda";"Pasture";"Light use";NA;-25.0976366784788;36.9875807444175;"Clubiona terrestris";"Animalia";"Arthropoda";"Arachnida";"Araneae";"Clubionidae";"Clubiona";"terrestris";"Arachnida";5;5;"predicts_NA"
"AZO-OO";"Clubiona terrestris";"SC1_2011__Meijer 1 Santa Maria 60";"Clubiona terrestris";"Cardoso et al. 2009";"SC1_2011__Meijer 1 60";"Abundance";"Arthropoda";"Pasture";"Light use";NA;-25.0687452505795;36.9553430947321;"Clubiona terrestris";"Animalia";"Arthropoda";"Arachnida";"Araneae";"Clubionidae";"Clubiona";"terrestris";"Arachnida";1;1;"predicts_NA"
"AZO-OO";"Cryptachaea blattea";"SC1_2011__Meijer 1 Flores 27";"Cryptachaea blattea";"Cardoso et al. 2009";"SC1_2011__Meijer 1 27";"Abundance";"Arthropoda";"Primary vegetation";"Minimal use";NA;-31.2236456951925;39.4066964909513;"Cryptachaea blattea";"Animalia";"Arthropoda";"Arachnida";"Araneae";"Theridiidae";"Cryptachaea";"blattea";"Arachnida";2;2;"predicts_invasive"
"AZO-OO";"Cryptachaea blattea";"SC1_2011__Meijer 1 Flores 28";"Cryptachaea blattea";"Cardoso et al. 2009";"SC1_2011__Meijer 1 28";"Abundance";"Arthropoda";"Primary vegetation";"Minimal use";NA;-31.2227733549156;39.4049172283161;"Cryptachaea blattea";"Animalia";"Arthropoda";"Arachnida";"Araneae";"Theridiidae";"Cryptachaea";"blattea";"Arachnida";1;1;"predicts_invasive"
"AZO-OO";"Cryptachaea blattea";"SC1_2011__Meijer 1 Santa Maria 47";"Cryptachaea blattea";"Cardoso et al. 2009";"SC1_2011__Meijer 1 47";"Abundance";"Arthropoda";"Secondary vegetation (indeterminate age)";"Minimal use";NA;-25.0757524735985;36.96117117703;"Cryptachaea blattea";"Animalia";"Arthropoda";"Arachnida";"Araneae";"Theridiidae";"Cryptachaea";"blattea";"Arachnida";1;1;"predicts_invasive"
"AZO-OO";"Cryptachaea blattea";"SC1_2011__Meijer 1 Santa Maria 55";"Cryptachaea blattea";"Cardoso et al. 2009";"SC1_2011__Meijer 1 55";"Abundance";"Arthropoda";"Pasture";"Minimal use";NA;-25.1719311795524;36.9990865685744;"Cryptachaea blattea";"Animalia";"Arthropoda";"Arachnida";"Araneae";"Theridiidae";"Cryptachaea";"blattea";"Arachnida";4;4;"predicts_invasive"
"AZO-OO";"Cryptachaea blattea";"SC1_2011__Meijer 1 Santa Maria 60";"Cryptachaea blattea";"Cardoso et al. 2009";"SC1_2011__Meijer 1 60";"Abundance";"Arthropoda";"Pasture";"Light use";NA;-25.0687452505795;36.9553430947321;"Cryptachaea blattea";"Animalia";"Arthropoda";"Arachnida";"Araneae";"Theridiidae";"Cryptachaea";"blattea";"Arachnida";5;5;"predicts_invasive"
"AZO-OO";"Cryptachaea blattea";"SC1_2011__Meijer 1 Terceira 138";"Cryptachaea blattea";"Cardoso et al. 2009";"SC1_2011__Meijer 1 138";"Abundance";"Arthropoda";"Pasture";"Minimal use";NA;-27.2332442862037;38.7072731499204;"Cryptachaea blattea";"Animalia";"Arthropoda";"Arachnida";"Araneae";"Theridiidae";"Cryptachaea";"blattea";"Arachnida";1;1;"predicts_invasive"
"AZO-OO";"Cryptachaea blattea";"SC1_2011__Meijer 1 Terceira 151";"Cryptachaea blattea";"Cardoso et al. 2009";"SC1_2011__Meijer 1 151";"Abundance";"Arthropoda";"Pasture";"Minimal use";NA;-27.2485639631912;38.7205880362504;"Cryptachaea blattea";"Animalia";"Arthropoda";"Arachnida";"Araneae";"Theridiidae";"Cryptachaea";"blattea";"Arachnida";1;1;"predicts_invasive"
"AZO-OO";"Cryptachaea blattea";"SC1_2011__Meijer 1 Terceira 64";"Cryptachaea blattea";"Cardoso et al. 2009";"SC1_2011__Meijer 1 64";"Abundance";"Arthropoda";"Secondary vegetation (indeterminate age)";"Minimal use";NA;-27.1343029741543;38.745981020519;"Cryptachaea blattea";"Animalia";"Arthropoda";"Arachnida";"Araneae";"Theridiidae";"Cryptachaea";"blattea";"Arachnida";3;3;"predicts_invasive"
"AZO-OO";"Dysdera crocata";"KS1_2006__Borges 1 Fragment A 1";"Dysdera crocata";"Borges et al. 2006";"KS1_2006__Borges 1 1";"Abundance";"Arthropoda";"Primary vegetation";"Minimal use";NA;-27.2204254459285;38.761305;"Dysdera crocata";"Animalia";"Arthropoda";"Arachnida";"Araneae";"Dysderidae";"Dysdera";"crocata";"Arachnida";1;1;"predicts_NA"
"AZO-OO";"Dysdera crocata";"KS1_2006__Borges 1 Fragment A 2";"Dysdera crocata";"Borges et al. 2006";"KS1_2006__Borges 1 2";"Abundance";"Arthropoda";"Secondary vegetation (indeterminate age)";"Minimal use";NA;-27.2374386421714;38.758325;"Dysdera crocata";"Animalia";"Arthropoda";"Arachnida";"Araneae";"Dysderidae";"Dysdera";"crocata";"Arachnida";4;4;"predicts_NA"
"AZO-OO";"Dysdera crocata";"KS1_2006__Borges 1 Fragment A 3";"Dysdera crocata";"Borges et al. 2006";"KS1_2006__Borges 1 3";"Abundance";"Arthropoda";"Primary vegetation";"Minimal use";0.365;-27.2093611685273;38.756234;"Dysdera crocata";"Animalia";"Arthropoda";"Arachnida";"Araneae";"Dysderidae";"Dysdera";"crocata";"Arachnida";7;7;"predicts_NA"
"AZO-OO";"Dysdera crocata";"KS1_2006__Borges 1 Fragment A 4";"Dysdera crocata";"Borges et al. 2006";"KS1_2006__Borges 1 4";"Abundance";"Arthropoda";"Primary vegetation";"Minimal use";0.144;-27.2212523804708;38.764457;"Dysdera crocata";"Animalia";"Arthropoda";"Arachnida";"Araneae";"Dysderidae";"Dysdera";"crocata";"Arachnida";1;1;"predicts_NA"
"AZO-OO";"Dysdera crocata";"KS1_2006__Borges 1 Fragment A 6";"Dysdera crocata";"Borges et al. 2006";"KS1_2006__Borges 1 6";"Abundance";"Arthropoda";"Primary vegetation";"Minimal use";0.236;-27.2088236416552;38.75345;"Dysdera crocata";"Animalia";"Arthropoda";"Arachnida";"Araneae";"Dysderidae";"Dysdera";"crocata";"Arachnida";1;1;"predicts_NA"
